0	0.20450106365624224	2000
0	0.5446161418749567	4000
1	0.8103431200942862	6000
5	0.8102854983485501	8000
14	0.7948171563254901	10000
17	0.7880642636675581	12000
23	0.7951782820704042	14000
25	0.8024505138183037	16000
26	0.781881648451002	18000
28	0.7765555063288496	20000
30	0.7917615375801913	22000
33	0.8045553166040373	24000
33	0.7996901762895271	26000
34	0.7864687768529169	28000
36	0.8027521323402714	30000
37	0.7930302300511816	32000
40	0.8008001152613751	34000
41	0.8042534839269194	36000
42	0.7974317224429635	38000
44	0.7984985590214526	40000
45	0.787298414859757	42000
45	0.798501973357461	44000
48	0.7965869484192475	46000
49	0.8002963768779139	48000
51	0.8111159977512201	50000
